Using license file /spack/apps/linux-centos7-x86_64/gcc-8.3.0/gurobi-9.0.1/license/gurobi.lic
Set parameter TokenServer to value hpc-licenses.hpcc.usc.edu
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.1 build v9.0.1rc0 (linux64)
Optimize a model with 87627 rows, 24380 columns and 324759 nonzeros
Model fingerprint: 0xab547de9
Model has 500 quadratic objective terms
Variable types: 16548 continuous, 7832 integer (7832 binary)
Coefficient statistics:
  Matrix range     [2e-03, 3e+02]
  Objective range  [9e-03, 1e+00]
  QObjective range [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Presolve removed 6884 rows and 6285 columns
Presolve time: 1.36s
Presolved: 80743 rows, 18095 columns, 252449 nonzeros
Presolved model has 500 quadratic objective terms
Variable types: 16354 continuous, 1741 integer (1741 binary)
Found heuristic solution: objective 104.5753469

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  894215    1.8025829e+03   1.050513e+01   0.000000e+00   1315s
  897755    1.8025829e+03   7.774725e+00   0.000000e+00   1320s
  901295    1.8025829e+03   6.795592e+00   0.000000e+00   1325s
  904658    1.8025829e+03   6.993015e+00   0.000000e+00   1330s
  908021    1.8025829e+03   6.378497e+00   0.000000e+00   1335s
  911561    1.8025829e+03   7.499358e+00   0.000000e+00   1340s
  915101    1.8025829e+03   7.454238e+00   0.000000e+00   1345s
  918641    1.8025829e+03   7.138512e+00   0.000000e+00   1350s
  922004    1.8025829e+03   7.144615e+00   0.000000e+00   1355s
  925544    1.8025829e+03   5.022663e+00   0.000000e+00   1360s
  929084    1.8025829e+03   7.287917e+00   0.000000e+00   1365s
  932624    1.8025829e+03   8.195114e+00   0.000000e+00   1370s
  935987    1.8025829e+03   7.190251e+00   0.000000e+00   1375s
  939527    1.8025829e+03   5.336419e+00   0.000000e+00   1380s
  943067    1.8025829e+03   8.346526e+00   0.000000e+00   1385s
  946607    1.8025829e+03   5.322954e+00   0.000000e+00   1390s
  950147    1.8025829e+03   7.744442e+00   0.000000e+00   1395s
  953687    1.8025829e+03   8.489741e+00   0.000000e+00   1400s
  957050    1.8025829e+03   2.102571e+01   0.000000e+00   1405s
  960590    1.8025829e+03   7.510668e+00   0.000000e+00   1410s
  963953    1.8025829e+03   7.406714e+00   0.000000e+00   1415s
  967493    1.8025829e+03   5.862541e+00   0.000000e+00   1420s
  971033    1.8025829e+03   1.061623e+01   0.000000e+00   1425s
  974396    1.8025829e+03   8.351033e+00   0.000000e+00   1430s
  977936    1.8025829e+03   5.881793e+00   0.000000e+00   1435s
  981476    1.8025829e+03   5.616260e+00   0.000000e+00   1440s
  984839    1.8025829e+03   5.137794e+00   0.000000e+00   1445s
  988202    1.8025829e+03   9.802379e+00   0.000000e+00   1450s
  991742    1.8025829e+03   5.479546e+00   0.000000e+00   1455s
  995282    1.8025829e+03   7.874241e+00   0.000000e+00   1460s
  998822    1.8025829e+03   6.786701e+00   0.000000e+00   1465s
 1002362    1.8025829e+03   9.325911e+00   0.000000e+00   1470s
 1005902    1.8025829e+03   7.849195e+00   0.000000e+00   1475s
 1009442    1.8025829e+03   6.263484e+00   0.000000e+00   1480s
 1012805    1.8025829e+03   6.327445e+00   0.000000e+00   1485s
 1016345    1.8025829e+03   7.603410e+00   0.000000e+00   1490s
 1019885    1.8025829e+03   6.954280e+00   0.000000e+00   1495s
 1023248    1.8025829e+03   7.294287e+00   0.000000e+00   1500s
 1026788    1.8025829e+03   5.931171e+00   0.000000e+00   1505s
 1030328    1.8025829e+03   5.308111e+00   0.000000e+00   1510s
 1033868    1.8025829e+03   1.944849e+01   0.000000e+00   1515s
 1037231    1.8025829e+03   7.549495e+00   0.000000e+00   1520s
 1040771    1.8025829e+03   5.309689e+00   0.000000e+00   1525s
 1044134    1.8025829e+03   6.887186e+00   0.000000e+00   1530s
 1047674    1.8025829e+03   5.917160e+00   0.000000e+00   1535s
 1051037    1.8025829e+03   7.330168e+00   0.000000e+00   1540s
 1054400    1.8025829e+03   6.513055e+00   0.000000e+00   1545s
 1057763    1.8025829e+03   7.039250e+00   0.000000e+00   1550s
 1061126    1.8025829e+03   6.744584e+00   0.000000e+00   1555s
 1064489    1.8025829e+03   6.823498e+00   0.000000e+00   1560s
 1067852    1.8025829e+03   6.381021e+00   0.000000e+00   1565s
 1071215    1.8025829e+03   7.349406e+00   0.000000e+00   1570s
 1074755    1.8025829e+03   6.033664e+00   0.000000e+00   1575s
 1077941    1.8025829e+03   1.250898e+01   0.000000e+00   1580s
 1081304    1.8025829e+03   9.464020e+00   0.000000e+00   1585s
 1084667    1.8025829e+03   1.390493e+01   0.000000e+00   1590s
